move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e4g2,,,,,0.0,e4g2,,-1.0,e4c6,-68.0,,e4g6,-60.0,,312,33
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,313,0
d7d6,0.171,0.82,0.009,74.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,313,1
c2c4,0.017,0.889,0.094,41.0,,b1c3,75.0,,e2e4,75.0,,g1f3,70.0,,313,2
c7c6,0.277,0.719,0.004,101.0,,e7e5,49.0,,g7g6,82.0,,g8f6,82.0,,313,3
b1c3,0.004,0.725,0.271,100.0,,e2e4,114.0,,b1c3,104.0,,g1f3,97.0,,313,4
b8d7,0.256,0.739,0.005,96.0,,d6d5,97.0,,g8f6,114.0,,e7e5,114.0,,313,5
g1f3,0.003,0.608,0.389,123.0,,e2e4,121.0,,g1f3,121.0,,d1c2,115.0,,313,6
d7f6,0.799,0.201,0.0,203.0,,g8f6,121.0,,e7e5,121.0,,a7a6,126.0,,313,7
c1g5,0.004,0.711,0.285,101.0,,h2h3,196.0,,e2e4,187.0,,d1c2,167.0,,313,8
h7h6,0.394,0.604,0.002,122.0,,c8f5,99.0,,h7h6,107.0,,d8c7,142.0,,313,9
g5h4,0.014,0.891,0.095,43.0,,g5d2,115.0,,g5c1,108.0,,g5f4,63.0,,313,10
g7g5,0.096,0.891,0.013,43.0,,f6h5,34.0,,g7g5,38.0,,d8b6,40.0,,313,11
h4g3,0.011,0.88,0.109,50.0,,h4g3,40.0,,f3g5,-279.0,,h4g5,-398.0,,313,12
g5g4,0.467,0.531,0.002,132.0,,d8b6,30.0,,f8g7,40.0,,f6h5,40.0,,313,13
f3d2,0.003,0.718,0.279,97.0,,f3d2,118.0,,f3h4,100.0,,f3g1,42.0,,313,14
c8f5,0.522,0.477,0.001,139.0,,f8g7,92.0,,h6h5,98.0,,c8f5,129.0,,313,15
e2e3,0.002,0.627,0.371,113.0,,h2h3,158.0,,e2e4,144.0,,f2f4,123.0,,313,16
f5e4,1.0,0.0,0.0,1012.0,,h6h5,93.0,,f8g7,124.0,,f6d7,132.0,,313,17
c3e4,0.0,0.0,1.0,962.0,,c3e4,1030.0,,d2e4,989.0,,d1b3,354.0,,313,18
f6e4,1.0,0.0,0.0,964.0,,f6e4,957.0,,e7e5,961.0,,h6h5,992.0,,313,19
d2e4,0.0,0.0,1.0,969.0,,d2e4,950.0,,d1b3,178.0,,g3h4,175.0,,313,20
d8a5,1.0,0.0,0.0,987.0,,h6h5,946.0,,e7e5,957.0,,d8a5,997.0,,313,21
e4c3,0.0,0.0,1.0,974.0,,e4c3,992.0,,e4d2,964.0,,b2b4,938.0,,313,22
a5b4,1.0,0.0,0.0,1094.0,,h6h5,992.0,,e7e5,992.0,,f8g7,1002.0,,313,23
d1c2,0.0,0.0,1.0,1039.0,,d1c2,1116.0,,a1b1,1061.0,,d1d2,1025.0,,313,24
b4a5,1.0,0.0,0.0,1081.0,,f8g7,1050.0,,b4a5,1053.0,,g8f6,1061.0,,313,25
a2a3,0.0,0.0,1.0,1016.0,,a1b1,1046.0,,f1d3,1041.0,,f1e2,1035.0,,313,26
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,314,0
e7e6,0.093,0.89,0.017,41.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,314,1
d2d4,0.014,0.878,0.108,49.0,,d2d4,27.0,,b1c3,27.0,,g1f3,15.0,,314,2
d7d5,0.098,0.887,0.015,44.0,,d7d5,57.0,,a7a6,76.0,,h7h6,107.0,,314,3
b1c3,0.014,0.877,0.109,49.0,,b1d2,43.0,,b1c3,40.0,,e4e5,26.0,,314,4
f8b4,0.153,0.838,0.009,67.0,,g8f6,33.0,,a7a6,53.0,,f8b4,71.0,,314,5
c1d2,0.038,0.923,0.039,0.0,,e4e5,67.0,,g1e2,46.0,,e4d5,15.0,,314,6
c7c5,0.142,0.849,0.009,62.0,,d5e4,0.0,,b8c6,2.0,,b4c3,20.0,,314,7
a2a3,0.014,0.888,0.098,44.0,,a2a3,120.0,,f1b5,77.0,,e4e5,48.0,,314,8
b4a5,0.9,0.1,0.0,236.0,,b4c3,97.0,,c5d4,141.0,,b4a5,191.0,,314,9
d4c5,0.0,0.149,0.851,214.0,,d4c5,220.0,,f1b5,137.0,,e4e5,85.0,,314,10
d5e4,0.937,0.063,0.0,253.0,,g8f6,240.0,,d5e4,253.0,,b8c6,266.0,,314,11
b2b4,0.0,0.071,0.929,246.0,,b2b4,258.0,,c3e4,225.0,,d1g4,225.0,,314,12
a5c7,0.95,0.05,0.0,261.0,,a5c7,256.0,,e4e3,529.0,,g8f6,600.0,,314,13
c3e4,0.0,0.045,0.955,263.0,,c3e4,262.0,,f1b5,183.0,,g1e2,164.0,,314,14
c7e5,1.0,0.0,0.0,461.0,,g8f6,271.0,,g8e7,275.0,,b8d7,335.0,,314,15
d2c3,0.0,0.016,0.984,303.0,,g1f3,488.0,,f1b5,431.0,,d2e3,379.0,,314,16
e5c3,0.991,0.009,0.0,324.0,,e5c3,294.0,,d8d1,301.0,,b8c6,400.0,,314,17
e4c3,0.0,0.005,0.995,345.0,,e4c3,296.0,,e1e2,-630.0,,e4d2,-814.0,,314,18
d8f6,1.0,0.0,0.0,712.0,,d8d1,306.0,,a7a5,334.0,,b8c6,394.0,,314,19
c3e4,0.0,0.0,1.0,650.0,,c3e4,648.0,,f1b5,517.0,,g1e2,437.0,,314,20
f6e5,1.0,0.0,0.0,682.0,,f6e5,644.0,,f6b2,753.0,,f6d8,829.0,,314,21
f1d3,0.0,0.0,1.0,684.0,,f1d3,670.0,,f1b5,445.0,,f2f3,-292.0,,314,22
f7f5,1.0,0.0,0.0,928.0,,g8f6,674.0,,e8e7,683.0,,e5c7,691.0,,314,23
g1f3,0.0,0.0,1.0,883.0,,g1f3,953.0,,f2f4,740.0,,f2f3,-290.0,,314,24
e5f6,1.0,0.0,0.0,987.0,,e5e4,907.0,,e5c7,939.0,,e5f4,953.0,,314,25
e4d6,0.0,0.0,1.0,934.0,,e4f6,1043.0,,d3b5,1038.0,,e4d6,953.0,,314,26
e8d7,1.0,0.0,0.0,1044.0,,e8f8,923.0,,e8d8,1000.0,,e8e7,1063.0,,314,27
e1g1,0.0,0.0,1.0,977.0,,d3b5,1132.0,,d3f5,1076.0,,d3c4,1001.0,,314,28
g8e7,1.0,0.0,0.0,1125.0,,g8h6,997.0,,b8c6,1096.0,,g8e7,1103.0,,314,29
d3b5,0.0,0.0,1.0,1043.0,,d3c4,1115.0,,f1e1,1096.0,,d3b5,1061.0,,314,30
d7c7,1.0,0.0,0.0,,2.0,b8c6,1024.0,,e7c6,1061.0,,d7d8,,2.0,314,31
d6e8,0.0,0.0,1.0,,1.0,d6e8,,2.0,f1e1,1092.0,,c2c4,1001.0,,314,32
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,315,0
d7d5,0.101,0.883,0.016,45.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,315,1
c2c4,0.018,0.894,0.088,38.0,,c2c4,47.0,,g1f3,38.0,,e2e3,17.0,,315,2
d5c4,0.198,0.795,0.007,81.0,,d5c4,44.0,,c7c6,45.0,,e7e6,46.0,,315,3
e2e4,0.015,0.887,0.098,44.0,,e2e3,66.0,,g1f3,64.0,,e2e4,61.0,,315,4
b7b5,0.183,0.81,0.007,76.0,,b7b5,58.0,,e7e5,65.0,,g8f6,78.0,,315,5
b2b3,0.038,0.923,0.039,0.0,,a2a4,75.0,,g1f3,9.0,,b2b3,-23.0,,315,6
c4b3,0.082,0.901,0.017,36.0,,e7e5,-18.0,,e7e6,7.0,,c8b7,11.0,,315,7
f1b5,0.031,0.924,0.045,8.0,,f1b5,17.0,,a2b3,11.0,,g1f3,-50.0,,315,8
c8d7,0.509,0.49,0.001,142.0,,c7c6,26.0,,b8d7,135.0,,c8d7,136.0,,315,9
b5d7,0.007,0.813,0.18,75.0,,d1b3,136.0,,b1c3,84.0,,b5d7,81.0,,315,10
d8d7,0.481,0.517,0.002,136.0,,b8d7,94.0,,d8d7,142.0,,e8d7,317.0,,315,11
a2b3,0.006,0.795,0.199,79.0,,g1f3,145.0,,b1c3,131.0,,d1b3,113.0,,315,12
e7e6,0.402,0.596,0.002,121.0,,g8f6,75.0,,e7e6,95.0,,e7e5,137.0,,315,13
e4e5,0.454,0.544,0.002,-129.0,,g1f3,106.0,,b1c3,64.0,,g1e2,47.0,,315,14
b8c6,0.006,0.81,0.184,-75.0,,f8b4,-124.0,,a7a5,-45.0,,b8c6,-40.0,,315,15
g1f3,0.181,0.813,0.006,-74.0,,g1f3,-60.0,,g1e2,-62.0,,c1e3,-116.0,,315,16
e8c8,0.959,0.041,0.0,262.0,,f8b4,-70.0,,a7a5,-52.0,,a8b8,-36.0,,315,17
c1e3,0.001,0.303,0.696,167.0,,d1e2,234.0,,e1g1,224.0,,a1a4,177.0,,315,18
f8b4,0.659,0.34,0.001,159.0,,f8b4,138.0,,d7d5,195.0,,f8c5,220.0,,315,19
b1d2,0.001,0.46,0.539,138.0,,e3d2,153.0,,b1d2,123.0,,e1e2,42.0,,315,20
b4d2,0.986,0.014,0.0,299.0,,d7d5,127.0,,g8e7,130.0,,h7h6,171.0,,315,21
d1d2,0.0,0.005,0.995,335.0,,d1d2,306.0,,f3d2,249.0,,e3d2,231.0,,315,22
f7f6,1.0,0.0,0.0,553.0,,d7d5,312.0,,g8e7,333.0,,h7h6,355.0,,315,23
e1g1,0.0,0.0,1.0,586.0,,e1g1,601.0,,d2e2,580.0,,b3b4,423.0,,315,24
f6e5,1.0,0.0,0.0,766.0,,g8e7,588.0,,d7d5,590.0,,a7a6,671.0,,315,25
f3e5,0.0,0.0,1.0,530.0,,d2e2,800.0,,d2d3,738.0,,d2a2,648.0,,315,26
c6e5,1.0,0.0,0.0,572.0,,c6e5,732.0,,d7d6,815.0,,d7d5,844.0,,315,27
d4e5,0.76,0.24,0.0,-170.0,,d2e2,646.0,,d2a2,374.0,,d2a5,312.0,,315,28
d7d2,0.002,0.601,0.397,-112.0,,d7d2,-131.0,,d7b5,678.0,,g8e7,791.0,,315,29
e3d2,0.494,0.505,0.001,-125.0,,e3d2,-69.0,,a1a7,-889.0,,b3b4,-919.0,,315,30
d8d2,0.002,0.608,0.39,-110.0,,d8d2,-117.0,,g8e7,81.0,,d8d5,133.0,,315,31
a1a7,0.344,0.654,0.002,-102.0,,a1a7,-109.0,,a1a6,-639.0,,f2f4,-670.0,,315,32
