move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
g5f6,1.0,0.0,0.0,-651.0,,g3f2,-650.0,,g5f6,-653.0,,f1b1,-687.0,,109,50
f8f6,0.0,0.0,1.0,-634.0,,f5g3,-624.0,,f8f6,-623.0,,a7a6,-619.0,,109,51
g3e5,1.0,0.0,0.0,-654.0,,g3e5,-628.0,,g3f2,-633.0,,g3b8,-688.0,,109,52
f6f7,0.0,0.0,1.0,-661.0,,f6f7,-639.0,,f6f8,-561.0,,b5e2,-492.0,,109,53
e2c3,1.0,0.0,0.0,-663.0,,f1f4,-621.0,,e2c3,-658.0,,e5b2,-669.0,,109,54
a4b4,0.0,0.0,1.0,-474.0,,b5f1,-676.0,,a7a6,-504.0,,a4d4,-470.0,,109,55
f1f3,1.0,0.0,0.0,-607.0,,c3b5,-390.0,,f1a1,-498.0,,f1e1,-537.0,,109,56
b4b3,0.0,0.0,1.0,-517.0,,b5c6,-595.0,,d5d4,-557.0,,a7a5,-553.0,,109,57
d2c2,1.0,0.0,0.0,-653.0,,c3b5,-506.0,,d2f2,-517.0,,f3f4,-595.0,,109,58
b5c6,0.0,0.0,1.0,-669.0,,b5c6,-638.0,,b5c4,-553.0,,b5e8,-538.0,,109,59
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,110,0
d7d5,0.101,0.883,0.016,45.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,110,1
c2c4,0.018,0.894,0.088,38.0,,c2c4,47.0,,g1f3,38.0,,e2e3,17.0,,110,2
e7e6,0.107,0.879,0.014,48.0,,d5c4,44.0,,c7c6,45.0,,e7e6,46.0,,110,3
b1c3,0.016,0.89,0.094,42.0,,b1c3,37.0,,g1f3,33.0,,c4d5,22.0,,110,4
d5c4,0.312,0.684,0.004,108.0,,g8f6,38.0,,f8b4,57.0,,c7c6,62.0,,110,5
g1f3,0.057,0.917,0.026,-18.0,,e2e4,129.0,,e2e3,32.0,,g1f3,17.0,,110,6
b7b6,0.209,0.785,0.006,83.0,,a7a6,16.0,,f8b4,42.0,,c7c6,52.0,,110,7
c1g5,0.022,0.914,0.064,24.0,,e2e4,100.0,,e2e3,95.0,,d1a4,64.0,,110,8
c8b7,1.0,0.0,0.0,923.0,,f8e7,20.0,,f7f6,111.0,,g8f6,119.0,,110,9
g5d8,0.0,0.0,1.0,923.0,,g5d8,961.0,,e2e4,82.0,,d1a4,45.0,,110,10
e8d8,1.0,0.0,0.0,923.0,,e8d8,921.0,,b7f3,953.0,,f8a3,1169.0,,110,11
e2e4,0.0,0.0,1.0,923.0,,a2a3,936.0,,e2e4,923.0,,f3g5,912.0,,110,12
d8e8,1.0,0.0,0.0,1043.0,,f8b4,915.0,,d8c8,930.0,,g8h6,956.0,,110,13
f1c4,0.0,0.0,1.0,1030.0,,f1c4,1030.0,,d4d5,1003.0,,a1c1,976.0,,110,14
f8e7,1.0,0.0,0.0,1022.0,,f8d6,1007.0,,f8e7,1020.0,,b8d7,1025.0,,110,15
d4d5,0.0,0.0,1.0,1017.0,,a1c1,1046.0,,e1g1,1037.0,,d4d5,1030.0,,110,16
g8f6,1.0,0.0,0.0,1056.0,,e8f8,1038.0,,b8d7,1050.0,,g8f6,1081.0,,110,17
d5e6,0.0,0.0,1.0,1110.0,,d5e6,1076.0,,e1g1,1046.0,,c3b5,979.0,,110,18
f7e6,1.0,0.0,0.0,1087.0,,f7e6,1046.0,,b8c6,1084.0,,e8f8,1123.0,,110,19
e4e5,0.0,0.0,1.0,1035.0,,e1g1,1069.0,,f3d4,1061.0,,f3g5,1060.0,,110,20
f6d7,1.0,0.0,0.0,1055.0,,f6h5,1019.0,,f6d5,1055.0,,f6d7,1062.0,,110,21
c4e6,0.0,0.0,1.0,992.0,,f3d4,1071.0,,e1g1,1069.0,,c3b5,1039.0,,110,22
d7c5,1.0,0.0,0.0,1033.0,,d7c5,978.0,,e7b4,1070.0,,a7a5,1080.0,,110,23
e6d5,0.0,0.0,1.0,984.0,,e6c4,1000.0,,e6d5,964.0,,e6h3,952.0,,110,24
b7d5,1.0,0.0,0.0,1107.0,,b8c6,984.0,,c7c6,992.0,,b7d5,1100.0,,110,25
c3d5,0.0,0.0,1.0,1107.0,,c3d5,1115.0,,d1d5,1000.0,,e1g1,952.0,,110,26
